Item No.,Class Code,Dept #,Description,Whs No.,quantity,Sold Qty,Adj. Qty,Receive Qty,End In Stock,Average Cost,Current Cost,Ext Amount
A8000EK,US,FOUNDATIONS,Split Box Spring Foundation King,SHOW,,,,,1,124.4,124.4,124.45
A8002T,US,MATTRESS,Low Profile Group B Twin,HOU,1,,,,12,57,57,683.97
A8002T,US,MATTRESS,Low Profile Group B Twin,SHOW,,,,,1,57,57,57
A8002Q,US,MATTRESS,Low Profile Group B Queen,HOU,,,,,1,52,52,52
AIR FREIGHT,NA,NA,*AIR FREIGHT,HOU,,,,,1,0,0,
F2601,23,Dining,Vol1.P132-|5PCS DINING SET,DMG,,,,,1,189,189,189
A8003T,US,MATTRESS,PLATFORM BASE 33 - Platform Base-Twin,DMG,,,,,1,74,74,74
A8003T,US,MATTRESS,PLATFORM BASE 33 - Platform Base-Twin,HOU,,,,,1,74,74,74
U500-BLK,US,LIVING,Stand Up Mirror Hollywood With Led Lights BLACK,DMG,,,,,1,220,220,220
F9528T,23,*DISC*,Vol1.P230-|TWIN BED W/DRAWER-LIGHT GREY BURPLAP,HOU,,,,,1,141.5,141.5,141.55
U923-BLK,22,*DISC*,Queen Sleigh Bed (4pcs),DMG,,,,,2,209.9,209.9,419.84
U923-BLK-NS,22,*DISC*,Black Nightstand,DMG,1,,,,17,0,0,
U923-BLK-DR,22,BEDROOM,Black Dresser,DMG,1,,,,17,0,0,
U923-BLK-MR,22,*DISC*,Black Mirror,DMG,1,,,,17,0,0,
U923-BLK-MR,22,*DISC*,Black Mirror,HOU,,,,,8,0,0,
U923-GRY-NS,22,*DISC*,Grey Nightstand,DMG,1,,,,16,0,0,
U923-GRY-DR,22,*DISC*,Grey Dresser,DMG,1,,,,19,0,0,
U923-GRY-MR,22,*DISC*,Grey Mirror,DMG,2,,,,20,0,0,
U923-CHR,22,*DISC*,Queen Sleigh Bed,DMG,,,,,1,195.8,195.8,195.84
U923-CHR-NS,22,*DISC*,Cherry Nightstand,DMG,1,,,,11,0,0,
U923-CHR-NS,22,*DISC*,Cherry Nightstand,HOU,1,,,,11,0,0,
U923-CHR-NS,22,*DISC*,Cherry Nightstand,SHOW,,,,,1,0,0,
U923-CHR-DR,22,BEDROOM,Cherry Dresser,DMG,1,,,,10,0,0,
U923-CHR-MR,22,*DISC*,Cherry Mirror,DMG,1,,,,11,0,0,
U923-CHR-MR,22,*DISC*,Cherry Mirror,HOU,4,,,,43,0,0,
U300SEC-SLV,US,LIVING,SECTIONAL/SILVER,DMG,,,,,1,400,400,400
